Original,Remake(s)
The White Outlaw (1929),The Apache Kid's Escape (1930)
The Wicked Lady (1945),The Wicked Lady (1983)
The Wicker Man (1973),The Wicker Man (2006)
"Wife, Husband and Friend (1939)",Everybody Does It (1949)
Willy Wonka & the Chocolate Factory (1971),Charlie and the Chocolate Factory (2005)
The Window (1949),The Boy Cried Murder (1966)
Wings of Desire (1987),City of Angels (1998)
Witchboard (1986),Witchboard (2024)
Witness for the Prosecution (1957),Witness for the Prosecution (1982)
The Wizard of Gore (1970),The Wizard of Gore (2007)
The Wolf Man (1941),The Wolfman (2010)
The Women (1939),The Women (2008)
Wonderful Nightmare (2015),Beautiful Accident (2017)
World on a Wire (1973),The Thirteenth Floor (1999)
X Marks the Spot (1931),X Marks the Spot (1942)
A Yank at Oxford (1938),Oxford Blues (1984)
The Yellow Handkerchief (1977),The Yellow Handkerchief (2008)
Yellow Sky (1948),The Jackals (1967)
"Yours, Mine and Ours (1968)","Yours, Mine & Ours (2005)"
Zero Hour! (1957),Terror in the Sky (1971)
The Great Gatsby (1974),The Great Gatsby (2013)
,The Great Gatsby (2000)
