Movie,Year,TMDB Link,Genre
Ghajini,2005,https://www.themoviedb.org/movie/69636,"Action, Romance, Thriller"
Ghajini,2008,https://www.themoviedb.org/movie/14070,"Action, Romance, Thriller"
Gharshana,2004,https://www.themoviedb.org/movie/63671,"Crime, Action, Thriller"
Ghost Theater,2015,https://www.themoviedb.org/movie/371241,Horror
Gloria,1980,https://www.themoviedb.org/movie/10889,"Crime, Drama, Thriller"
Gloria,1999,https://www.themoviedb.org/movie/45712,"Drama, Crime, Thriller"
Going in Style,1979,https://www.themoviedb.org/movie/65066,"Crime, Drama, Comedy"
Going in Style,2017,https://www.themoviedb.org/movie/353070,"Crime, Comedy"
Gone in 60 Seconds,1974,https://www.themoviedb.org/movie/16246,"Action, Crime, Thriller, Drama"
Gone in 60 Seconds,2000,https://www.themoviedb.org/movie/9679,"Action, Crime, Thriller"
Good Morning,1959,https://www.themoviedb.org/movie/28276,"Comedy, Family, Drama"
Guess Who,2005,https://www.themoviedb.org/movie/11638,"Comedy, Romance"
Guess Who's Coming to Dinner,1967,https://www.themoviedb.org/movie/1879,"Drama, Romance"
Gulumaal: The Escape,2009,https://www.themoviedb.org/movie/330505,"Thriller, Comedy"
Gunfight at Comanche Creek,1963,https://www.themoviedb.org/movie/95677,Western
Gunga Din,1939,https://www.themoviedb.org/movie/24965,"Adventure, War, Action, Comedy"
Halloween,1978,https://www.themoviedb.org/movie/948,"Horror, Thriller"
Halloween,2007,https://www.themoviedb.org/movie/2082,Horror
Happy New Year,1987,https://www.themoviedb.org/movie/133781,"Comedy, Crime, Romance"
Hara-Kiri: Death of a Samurai,2011,https://www.themoviedb.org/movie/85836,"Drama, History"
Harakiri,1962,https://www.themoviedb.org/movie/14537,"Action, Drama, History"
Hard Hit,2021,https://www.themoviedb.org/movie/654739,"Action, Crime, Drama, Thriller"
Hawas,2004,https://www.themoviedb.org/movie/276480,"Romance, Thriller"
Head Above Water,1996,https://www.themoviedb.org/movie/11103,"Comedy, Thriller"
Heat,1986,https://www.themoviedb.org/movie/42023,"Action, Thriller"
Heaven Can Wait,1978,https://www.themoviedb.org/movie/12185,"Fantasy, Comedy, Romance"
Here Comes Mr. Jordan,1941,https://www.themoviedb.org/movie/38914,"Comedy, Fantasy, Romance"
Hi Nellie!,1934,https://www.themoviedb.org/movie/217387,"Comedy, Drama, Crime"
High Sierra,1941,https://www.themoviedb.org/movie/27725,"Crime, Drama, Action"
Himitsu,1999,https://www.themoviedb.org/movie/88517,"Drama, Fantasy"
His Girl Friday,1940,https://www.themoviedb.org/movie/3085,"Comedy, Romance, Drama"
His Royal Slyness,1920,https://www.themoviedb.org/movie/53530,Comedy
Hodet over vannet,1993,https://www.themoviedb.org/movie/40918,"Comedy, Thriller"
Holiday,1930,https://www.themoviedb.org/movie/104219,"Romance, Drama, Comedy"
Holiday,1938,https://www.themoviedb.org/movie/16274,"Comedy, Romance, Drama"
Holiday for Henrietta,1952,https://www.themoviedb.org/movie/4709,Comedy
Homeward Bound: The Incredible Journey,1993,https://www.themoviedb.org/movie/6878,"Adventure, Comedy, Family"
Hoop-La,1933,https://www.themoviedb.org/movie/84358,Drama
House of Strangers,1949,https://www.themoviedb.org/movie/20003,"Drama, Crime, Thriller"
House of Wax,1953,https://www.themoviedb.org/movie/18573,"Horror, Crime"
House of Wax,2005,https://www.themoviedb.org/movie/10066,"Horror, Thriller, Mystery"
House on Haunted Hill,1959,https://www.themoviedb.org/movie/15856,"Horror, Mystery"
House on Haunted Hill,1999,https://www.themoviedb.org/movie/11377,Horror
How to Make a Monster,1958,https://www.themoviedb.org/movie/116327,"Horror, Science Fiction"
How to Make a Monster,2001,https://www.themoviedb.org/movie/38510,"TV Movie, Horror, Science Fiction, Thriller"
How to Train Your Dragon,2010,https://www.themoviedb.org/movie/10191,"Fantasy, Adventure, Animation, Family"
How to Train Your Dragon,2025,https://www.themoviedb.org/movie/1087192,"Fantasy, Family, Action, Adventure"
Hurricane,1979,https://www.themoviedb.org/movie/75162,"Drama, Action, Romance"
I Am Sam,2001,https://www.themoviedb.org/movie/10950,Drama
I Died a Thousand Times,1955,https://www.themoviedb.org/movie/28490,"Crime, Thriller"
I Saw What You Did,1965,https://www.themoviedb.org/movie/28295,"Thriller, Horror, Crime"
I Saw What You Did,1988,https://www.themoviedb.org/movie/121518,"Thriller, TV Movie"
I Spit on Your Grave,1978,https://www.themoviedb.org/movie/25239,"Horror, Thriller"
I Spit on Your Grave,2010,https://www.themoviedb.org/movie/43947,"Thriller, Crime, Horror"
"I Was Born, But...",1932,https://www.themoviedb.org/movie/28268,"Comedy, Drama"
I'd Rather Be Rich,1964,https://www.themoviedb.org/movie/192985,Comedy
Ice Castles,1978,https://www.themoviedb.org/movie/50541,"Drama, Romance"
Ice Castles,2010,https://www.themoviedb.org/movie/33570,Drama
Ihr erstes Rendezvous,1955,https://www.themoviedb.org/movie/265476,Comedy
Il Mare,2000,https://www.themoviedb.org/movie/46535,"Drama, Romance, Science Fiction"
Infernal Affairs,2002,https://www.themoviedb.org/movie/10775,"Drama, Action, Thriller, Crime, Mystery"
Insomnia,1997,https://www.themoviedb.org/movie/26610,"Thriller, Crime, Mystery"
Insomnia,2002,https://www.themoviedb.org/movie/320,"Thriller, Crime, Drama"
Intermezzo,1936,https://www.themoviedb.org/movie/125891,"Drama, Romance"
Intermezzo,1939,https://www.themoviedb.org/movie/31868,"Drama, Romance"
Intersection,1994,https://www.themoviedb.org/movie/46717,"Drama, Romance"
Interview,2003,https://www.themoviedb.org/movie/36350,Drama
Interview,2007,https://www.themoviedb.org/movie/8414,Drama
Invaders from Mars,1953,https://www.themoviedb.org/movie/20424,"Science Fiction, Horror"
